# nb_entrees=14
e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,cible1,cible2,cible3,cible4,cible5
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0
0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0
1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0
1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0
1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0
1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0
0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0
0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0
0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0
0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0
1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0
1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0
1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0
0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0
0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0
1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0
0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0
